Etiquetas de fila,3,4,5,7,8,9,10,12,14,15,16,19,21,22,24,27,35,37,40,44,45,46,57,74,83,100,101,103,104,105,119,121,137,155,249,Total general,CONTEO5MAS,ACCIDE5MAS
53,1,,,2,,7,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,12,1,1
54,,,,,,12,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,13,0,0
55,,,,,,8,,1,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,12,0,0
56,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,0,0
57,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,0,0
58,1,,,,,17,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,20,1,1
59,,,,,,5,,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,9,0,0
60,,,,1,,8,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,12,0,0
61,,,,1,1,5,2,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,12,0,0
62,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,6,0,0
63,1,,,,,6,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,9,1,1
64,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,0,0
65,,,,1,2,25,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,30,0,0
66,,,,11,,27,9,3,,,,,,,,6,,,,3,3,,,,,,,1,,,,,,,,63,0,0
67,,,,1,,9,,,,,,,,,,,,,,4,1,3,,,,,,1,,,,,,,,19,0,0
68,,,,,1,12,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,17,0,0
69,,,,2,,10,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,14,0,0
70,,,,,1,23,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,26,0,0
71,,,,4,2,21,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,28,0,0
72,,,1,,5,4,,1,4,,,,,,,,,,,4,,,,,,,,1,,,,,,,,20,0,0
73,2,,,,,16,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,20,2,1
74,,,,,,12,2,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,17,0,0
75,,,,,1,24,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,28,0,0
76,,,,,,8,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,11,0,0
77,,,,,,8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,0,0
78,,,,,,9,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,11,0,0
79,,,,,,8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,0,0
80,1,,,2,,13,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,19,1,1
81,2,,,2,,28,9,,,,2,,,,,,4,4,,2,,,,,,,1,1,,,,,,3,,58,2,1
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0
83,,,,1,,9,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,13,0,0
84,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,14,0,0
85,,,,1,1,7,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,12,0,0
86,,,1,,,25,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,28,0,0
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0,0
